1000,1001,18,taid=1001, ResouceManager=1, Page=18
1001,1001,prepare
1003,1001,commit
1000,1001,41,taid=1001, ResouceManager=1, Page=41
1001,1001,prepare
1003,1001,commit
1004,1002,49,taid=1002, ResouceManager=1, Page=49
1005,1002,1,taid=1002, ResouceManager=1, Page=1
1006,1002,37,taid=1002, ResouceManager=1, Page=37
1007,1005,20,taid=1005, ResouceManager=1, Page=20
1008,1006,7,taid=1006, ResouceManager=1, Page=7
1009,1006,42,taid=1006, ResouceManager=1, Page=42
1010,1007,7,taid=1007, ResouceManager=1, Page=7
1011,1007,17,taid=1007, ResouceManager=1, Page=17
1012,1007,3,taid=1007, ResouceManager=1, Page=3
1013,1009,49,taid=1009, ResouceManager=1, Page=49
1014,1009,41,taid=1009, ResouceManager=1, Page=41
1015,1009,47,taid=1009, ResouceManager=1, Page=47
1016,1009,24,taid=1009, ResouceManager=1, Page=24
1000,1001,28,taid=1001, ResouceManager=1, Page=28
1001,1001,39,taid=1001, ResouceManager=1, Page=39
1002,1001,33,taid=1001, ResouceManager=1, Page=33
1003,1001,27,taid=1001, ResouceManager=1, Page=27
1000,1001,prepare
1001,1001,rollback
1000,1001,14,taid=1001, ResouceManager=1, Page=14
1001,1001,prepare
1003,1001,commit
1000,1001,11,taid=1001, ResouceManager=1, Page=11
1001,1001,24,taid=1001, ResouceManager=1, Page=24
1002,1001,41,taid=1001, ResouceManager=1, Page=41
1003,1002,prepare
1004,1002,rollback
1000,1001,3,taid=1001, ResouceManager=1, Page=3
1001,1001,prepare
1003,1001,commit
1000,1002,23,taid=1002, ResouceManager=1, Page=23
1001,1002,34,taid=1002, ResouceManager=1, Page=34
1002,1002,2,taid=1002, ResouceManager=1, Page=2
1003,1002,22,taid=1002, ResouceManager=1, Page=22
1004,1002,prepare
1009,1002,commit
1010,1003,49,taid=1003, ResouceManager=1, Page=49
1011,1003,37,taid=1003, ResouceManager=1, Page=37
1012,1004,24,taid=1004, ResouceManager=1, Page=24
1013,1005,23,taid=1005, ResouceManager=1, Page=23
1014,1005,9,taid=1005, ResouceManager=1, Page=9
1015,1006,17,taid=1006, ResouceManager=1, Page=17
1016,1007,45,taid=1007, ResouceManager=1, Page=45
1000,1001,3,taid=1001, ResouceManager=1, Page=3
1001,1001,48,taid=1001, ResouceManager=1, Page=48
1002,1001,25,taid=1001, ResouceManager=1, Page=25
1003,1001,prepare
1007,1001,commit
1000,1001,1,taid=1001, ResouceManager=1, Page=1
1001,1001,40,taid=1001, ResouceManager=1, Page=40
1002,1001,prepare
1005,1001,commit
1006,1003,11,taid=1003, ResouceManager=1, Page=11
1007,1003,7,taid=1003, ResouceManager=1, Page=7
1008,1003,21,taid=1003, ResouceManager=1, Page=21
1000,1002,19,taid=1002, ResouceManager=1, Page=19
1001,1002,15,taid=1002, ResouceManager=1, Page=15
1002,1002,prepare
1005,1002,commit
